epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.02,1.0,,,
2.0,100.0,45.0,22464.0,500.0,11.111111,-200.0,-200.0,0.069278896,0.02,1.0,,,
4.0,200.0,87.0,46464.0,1000.0,11.494253,-200.0,-200.0,0.15662502,0.02,1.0,,,
7.0,100.0,129.0,70464.0,1500.0,11.627907,-200.0,-200.0,0.2280268,0.018,0.95555556,,,
9.0,200.0,172.0,94464.0,2000.0,11.627907,-200.0,-200.0,1.1107923,0.018,0.9111111,,,
12.0,100.0,214.0,118464.0,2500.0,11.682243,-200.0,-200.0,0.9604224,0.0162,0.8666667,,,
14.0,200.0,257.0,142464.0,3000.0,11.673152,-200.0,-200.0,1.0147178,0.0162,0.82222223,,,
17.0,100.0,300.0,166464.0,3500.0,11.666667,-200.0,-200.0,3.0900908,0.01458,0.7777778,,,
19.0,200.0,344.0,190464.0,4000.0,11.627907,-200.0,-200.0,2.322403,0.01458,0.73333335,,,
22.0,100.0,387.0,214464.0,4500.0,11.627907,-200.0,-200.0,2.0829651,0.013122,0.6888889,,,
24.0,200.0,430.0,238464.0,5000.0,11.627907,-200.0,-200.0,7.1589456,0.013122,0.64444447,,,
27.0,100.0,473.0,262464.0,5500.0,11.627907,-200.0,-200.0,3.5595248,0.0118098,0.6,,,
29.0,200.0,517.0,286464.0,6000.0,11.605416,-200.0,-200.0,8.444001,0.0118098,0.5555556,,,
32.0,100.0,560.0,310464.0,6500.0,11.607142,-200.0,-200.0,8.216534,0.01062882,0.51111114,,,
34.0,200.0,603.0,334464.0,7000.0,11.6086235,-200.0,-200.0,4.653168,0.01062882,0.46666667,,,
37.0,100.0,647.0,358464.0,7500.0,11.591963,-200.0,-200.0,5.4219174,0.009565938,0.42222223,,,
39.0,200.0,691.0,382464.0,8000.0,11.577424,-200.0,-200.0,10.516382,0.009565938,0.37777779,,,
42.0,100.0,734.0,406464.0,8500.0,11.580381,-200.0,-200.0,15.160493,0.008609344,0.33333334,,,
44.0,200.0,778.0,430464.0,9000.0,11.568124,-200.0,-200.0,6.1013336,0.008609344,0.2888889,,,
47.0,100.0,822.0,454464.0,9500.0,11.557178,-200.0,-200.0,15.527283,0.0077484096,0.24444444,,,
49.0,200.0,866.0,478464.0,10000.0,11.547344,-200.0,-200.0,10.719508,0.0077484096,0.2,,,
52.0,100.0,910.0,502464.0,10500.0,11.538462,-200.0,-200.0,7.937789,0.006973569,0.2,,,
54.0,200.0,954.0,526464.0,11000.0,11.530398,-200.0,-200.0,6.4551845,0.006973569,0.2,,,
57.0,100.0,997.0,550464.0,11500.0,11.534604,-200.0,-200.0,10.206943,0.0062762117,0.2,,,
59.0,200.0,1041.0,574464.0,12000.0,11.527377,-200.0,-200.0,12.56639,0.0062762117,0.2,,,
62.0,100.0,1085.0,598464.0,12500.0,11.520738,-200.0,-200.0,5.2865024,0.0056485906,0.2,,,
64.0,200.0,1129.0,622464.0,13000.0,11.514615,-200.0,-200.0,12.861585,0.0056485906,0.2,,,
67.0,100.0,1173.0,646464.0,13500.0,11.508951,-200.0,-200.0,9.095658,0.005083732,0.2,,,
69.0,200.0,1217.0,670464.0,14000.0,11.503697,-200.0,-200.0,12.029553,0.005083732,0.2,,,
72.0,100.0,1261.0,694464.0,14500.0,11.498811,-200.0,-200.0,15.1421795,0.0045753587,0.2,,,
74.0,200.0,1307.0,718464.0,15000.0,11.476665,-200.0,-200.0,17.959246,0.0045753587,0.2,,,
77.0,100.0,1353.0,742464.0,15500.0,11.456023,-200.0,-200.0,10.977848,0.0041178227,0.2,,,
79.0,200.0,1397.0,766464.0,16000.0,11.453114,-200.0,-200.0,8.21316,0.0041178227,0.2,,,
82.0,100.0,1441.0,790464.0,16500.0,11.450381,-200.0,-200.0,6.4073253,0.0037060403,0.2,,,
84.0,200.0,1485.0,814464.0,17000.0,11.447811,-200.0,-200.0,20.626318,0.0037060403,0.2,,,
87.0,100.0,1530.0,838464.0,17500.0,11.437908,-200.0,-200.0,11.927157,0.0033354363,0.2,,,
